"adm_0_name","adm_1_name","adm_2_name","full_name","ISO_A0","FAO_GAUL_code","RNE_iso_code","IBGE_code","calendar_start_date","calendar_end_date","Year","dengue_total","case_definition_standardised","S_res","T_res","UUID"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-09-12","2021-09-18",2021,54,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-09-19","2021-09-25",2021,51,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-09-26","2021-10-02",2021,51,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-10-03","2021-10-09",2021,54,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-10-10","2021-10-16",2021,100,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-10-17","2021-10-23",2021,81,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-10-24","2021-10-30",2021,91,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-10-31","2021-11-06",2021,100,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-11-07","2021-11-13",2021,141,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-11-14","2021-11-20",2021,151,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM",NA,"2000-01-01","2000-12-31",2000,0,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM",NA,"2001-01-01","2001-12-31",2001,500,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM",NA,"2002-01-01","2002-12-31",2002,1185,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM",NA,"2003-01-01","2003-12-31",2003,0,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM",NA,"2004-01-01","2004-12-31",2004,0,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM",NA,"2005-01-01","2005-12-31",2005,0,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM",NA,"2006-01-01","2006-12-31",2006,53,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM",NA,"2007-01-01","2007-12-31",2007,126,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM",NA,"2008-01-01","2008-12-31",2008,649,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM",NA,"2009-01-01","2009-12-31",2009,419,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM",NA,"2010-01-01","2010-12-31",2010,51,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM",NA,"2015-01-01","2015-12-31",2015,479,"Total","Admin0","Year","LITERATURE-ALL-20112019-Y01-02"
"AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM",NA,"2016-01-01","2016-12-31",2016,0,"Total","Admin0","Year","LITERATURE-ALL-20112019-Y01-02"
"AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM",NA,"2017-04-03","2017-04-09",2017,7,"Suspected","Admin0","Week","WHOWPRO-PICs-2017-Y01-00"
"AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM",NA,"2017-04-10","2017-04-16",2017,19,"Suspected","Admin0","Week","WHOWPRO-PICs-2017-Y01-00"
"AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM",NA,"2017-04-17","2017-04-23",2017,10,"Suspected","Admin0","Week","WHOWPRO-PICs-2017-Y01-00"
"AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM",NA,"2017-04-24","2017-04-30",2017,9,"Suspected","Admin0","Week","WHOWPRO-PICs-2017-Y01-00"
"AMERICAN SAMOA",NA,NA,"AMERICAN SAMOA","ASM",5,"ASM",NA,"2017-05-01","2017-05-07",2017,16,"Suspected","Admin0","Week","WHOWPRO-PICs-2017-Y01-00"
